T	a1	a4	a5	a13	Mref
0	4.4642	0.442	0.0385	-0.0257	7.68
0.01	4.4819	0.4423	0.0403	-0.026	7.68
0.02	4.5046	0.4361	0.0419	-0.0263	7.68
0.05	4.6252	0.3633	0.0451	-0.027	7.71
0.075	4.7904	0.3195	0.0462	-0.0276	7.77
0.1	4.9262	0.3259	0.0482	-0.0281	7.77
0.15	5.095	0.3506	0.0433	-0.0288	7.78
0.2	5.1811	0.4011	0.0369	-0.0291	7.72
0.25	5.1352	0.4408	0.066	-0.0291	7.62
0.3	5.0775	0.4861	0.062	-0.0288	7.54
0.4	4.9151	0.5939	0.0698	-0.027	7.42
0.5	4.7932	0.7192	0.0878	-0.0236	7.38
0.6	4.661	0.8481	0.0961	-0.0181	7.36
0.75	4.4014	0.9652	0.1061	-0.0151	7.32
1	3.7433	1.1749	0.2274	-0.0032	7.25
1.5	2.8223	1.361	0.1614	-0.0032	7.25
2	1.8833	1.3831	0.2277	-0.0032	7.25
2.5	1.0148	1.3828	0.2715	-0.0032	7.25
3	0.4117	1.3917	0.2882	-0.0032	7.25
4	-0.5199	1.368	0.3259	-0.0032	7.25
5	-0.9236	1.3799	0.3038	-0.0032	7.25
